serial,serie   (vervolgverhaal)
series,serie (= reeks)
instalment/episode,aflevering
viewing figures,kijkcijfers
  TV ratings,kijkcijfers
viewer,kijker
station,zender
to receive,ontvangen
channel,kanaal
aerial,antenne
dish,schotelantenne
to broadcast  (broadcast – broadcast) ,uitzenden
coverage,verslaggeving
media coverage,media-aandacht
presenter,presentator
to advertise,adverteren
advertisement,advertentie
ad/advert,advertentie
commercial,reclamespot
to skip,overslaan
footage,filmfragment/beelden
advertising agency,reclamebureau
campaign,campagne
to launch,lanceren/starten
to meet ex-,aan de verwachtingen 
  pectations,  voldoen
to fall short of,niet voldoen aan
to ban,verbieden
ban,verbod
standard,norm
