to bully,pesten
bully,pestkop
to tend,de neiging hebben 
tendency,neiging
attitude,houding
towards,tegenover
hostile,vijandig
hostility,vijandigheid
to tackle,aanpakken
to  address,aanpakken
gentle,zachtaardig
to apologise,zich verontschuldigen
apology,excuus
to approve of,goedkeuren
to disapprove of,afkeuren
approval,goedkeuring
disapproval,afkeuring
impudent/insolent,brutaal
impudence,brutaliteit
  insolence,brutaliteit
to treat,behandelen
indifference,onverschilligheid
indifferent,onverschillig
to conform,zich aanpassen 
guideline,richtlijn
to adapt,zich aanpassen 
to enjoy,genieten van
to enjoy oneself,genieten
to cope with,omgaan met
to deal with/handle,omgaan met
hospitable,gastvrij
hospitality,gastvrijheid
