society,de maatschappij
influence/impact,invloed
to influence,beïnvloeden
racial discrimination,rassendiscriminatie
racist,racist
racist,racistisch
racism,racisme
injustice ,onrecht(vaardigheid)
justice,rechtvaardigheid
system of justice  ,rechtssysteem
gender,geslacht
multicultural,multicultureel
sound,gezond/verstandig
to discriminate against,discrimineren
! ethnic minority,etnische minderheid
migrant,migrant
to migrate,migreren
immigrant,immigrant
community,gemeenschap
citizen,(staats)burger
influx,toestroom
residence permit,verblijfsvergunning
developing country,ontwikkelingsland
social security,sociale zekerheid
welfare state,welzijnsstaat
cradle,wieg
welfare work,maatschappelijk werk
