mayor,burgemeester
metropolis,wereldstad
suburb,voorstad
slum,achterbuurt
tramp,zwerver
native,geboorte-
outskirts,buitenwijken
amenities,voorzieningen
municipal,gemeentelijk
uninhabited,onbewoond
inhabitant,inwoner
remains,overblijfselen
to discover,ontdekken
discovery,ontdekking
concrete,beton
urban,stads/stedelijk
suburban,voorstedelijk
resident,bewoner
narrow,smal
alley,steeg
gutter,goot
imposing/,indrukwekkend
  impressive,indrukwekkend
tremendous/enormous,enorm
to extinguish,blussen
entire/whole,hele
entirely/completely,helemaal
emergency,noodgeval
emergency exit,nooduitgang
by means of,door middel van
crowd,menigte
limited/restricted,beperkt
quarter/district,wijk
