to sign,ondertekenen
signature,handtekening
initial,beginletter/initiaal
draft,concept/klad
to refer to,verwijzen naar
reference,verwijzing
to omit,weglaten
omission,weglating
abbreviation,afkorting
object,voorwerp
to text,texten/sms’en
text message,tekstbericht/sms
to underline,onderstrepen
instance,voorbeeld
poem,gedicht
poet,dichter
to compile,samenstellen
novel,roman
novelist,romanschrijver
main character,hoofdpersoon
famous,beroemd
adaptation,bewerking
to deal with (dealt – dealt),gaan over
vivid,levendig
review,recensie
reviewer/critic,recensent
criticism,kritiek
to criticise,bekritiseren
critical,kritisch
fiction,fictie/verzinsel
fiction,romans
preface,voorwoord
