dispute,geschil
attorney (AE),advocaat
to confine,beperken
to verify,verifiëren/nagaan
to banish,verbannen
convict,dwangarbeider
to summon,oproepen
to maintain,volhouden/beweren
to trespass,op verboden terrein komen
to plead,pleiten
to enforce,handhaven/afdwingen
to penalise,straffen
to clarify,verduidelijken/toelichten
to outlaw,verbieden
! minute,heel nauwkeurig
to counter,tegengaan
to exclude,uitsluiten
to detain,vasthouden
to expose,ontmaskeren
to expose,onthullen
to devise,bedenken
thus,zo/op deze wijze
menace,bedreiging
advocate,voorstander
to advocate,voorstander zijn van
culprit,dader
to take into care,uit huis plaatsen
