fashion,mode
fashionable,in de mode
old-fashioned,ouderwets
opposite,tegenovergestelde
fabric,stof
to catch on,aanslaan
shabby,armoedig
collar,kraag/boord
fur,bont
to fit,passen
available,verkrijgbaar
zip/zipper,ritssluiting
to shrink (shrank - shrunk),krimpen
to design ,ontwerpen
wardrobe,kleerkast
casual clothes,vrijetijdskleding
laundry,wasgoed
laundry,wasserij
detergent,wasmiddel
jewel,juweel
jewelry/jewellery,sieraden
bracelet,armband
necklace,halsketting
chain,ketting
pendant,hanger
gem/precious stone,edelsteen
genuine/real,echt
fake,namaak/vals
decent,fatsoenlijk
veil,sluier
scarf (mv: scarves),das/sjaal
headscarf,hoofddoek
