crime,misdaad
criminal,misdadiger/crimineel
crook,misdadiger/boef
murder,moord
homicide (AE),moord
to murder,vermoorden
to suspect,verdenken
suspicion,verdenking
suspicious,verdacht
suspect,verdachte
to mention,noemen
to commit,plegen
to interrogate,ondervragen
corpse,lijk
to investigate,onderzoeken
investigation,onderzoek
to recover,terugvinden
hostage,gijzelaar/gegijzelde
to force/to compel,dwingen
to endanger,in gevaar brengen
violence,geweld
domestic violence,huiselijk geweld
violent,gewelddadig
to forge,vervalsen
forgery,vervalsing
fugitive,voortvluchtige
trafficking,handel
to combat,bestrijden
clue,aanwijzing
to hide (hid - hidden),verbergen
to conceal,verbergen
scent,geur(spoor)
