to vomit/to throw up,overgeven/kotsen
mental,geestelijk
insane,krankzinnig
common,gewoon
to cure,genezen
incurable,ongeneeslijk
physical,lichamelijk
in spite of/despite,ondanks
to heal,genezen (wond)
unconscious,bewusteloos
conscious,bij bewustzijn
hereditary,erfelijk
to suffer,lijden
movement,beweging
ward,afdeling
to distinguish,onderscheiden
distinction,onderscheid
severe,hevig/ernstig
cemetery,begraafplaats
to bury,begraven
to cremate,cremeren
funeral,begrafenis
tomb,graftombe
epitaph,grafschrift
mortal/lethal,dodelijk
(im)mortal,(on)sterfelijk
coffin,(doods)kist
to carry,dragen
suicide,zelfmoord
poison,gif
to poison,vergiftigen
poisonous,giftig
