agriculture,landbouw 
area/region,gebied/streek
agricultural,landbouw-
(in)fertile,(on)vruchtbaar
soil,grond/aarde
fertiliser,kunstmest
fertility,vruchtbaarheid
to cultivate,bebouwen
implement,werktuig
harvest/crop,oogst
crop,gewas
pesticide,bestrijdingsmiddel
pest,ongedierte
to spray,bespuiten
female,vrouwelijk
male,mannelijk
cattle,vee
meadow,weide/weiland
ditch,sloot
"vet, veterinary surgeon",dierenarts/veearts
to breed (bred – bred),fokken/kweken
breed,ras
to feed (fed-fed),voeren
dairy farm,melkveebedrijf
dairy product,zuivelproduct
to settle,zich vestigen
settler,kolonist
settlement,nederzetting
to grow (grew-grown),kweken/telen
greenhouse,(broei)kas
