savage,woest
to hover,zweven
to roar,brullen
flock,kudde (schapen)
to leap  (leapt - leapt),springen
leap,sprong
pasture,wei/weiland
burden,last
extermination,uitroeiing
to slaughter,afslachten
peasant,kleine boer
to facilitate,vergemakkelijken
rural,landelijk
manure,mest
seed,zaad
to envelop,hullen
hazard,gevaar
hazardous,gevaarlijk
to ramble/to roam,zwerven
infinite,oneindig
precipice,afgrond
desolate,woest en verlaten
arid,droog/dor
solitary,eenzaam
solitude,eenzaamheid
to inflict,toebrengen
boundary,grens
to designate,aanwijzen
by and large,over het algemeen
odour,stank
to emerge,tevoorschijn komen
