to exterminate,uitroeien
treason,verraad
trench,loopgraaf
hardship,ontbering
horror,verschrikking
senseless,zinloos
"supply with, to",voorzien van
"  provide with, to",voorzien van
supply,voorraad
naval,marine-
coward,lafaard
to deter,afschrikken
deterrent,afschrikmiddel
conditions/terms,voorwaarden
to occupy,bezetten
occupation,bezetting
to reinforce,versterken
a good cause,een goede zaak
just,rechtvaardig
battle,(veld)slag
destiny/fate,(nood)lot
to brainwash,hersenspoelen
armistice/truce,wapenstilstand
to withdraw,terugtrekken
barracks,kazerne
to advance,vorderen
outrage,verontwaardiging/woede
outrage,gewelddaad
outrageous,schokkend/afschuwelijk
memorial,monument
