stern/strict,streng
lenient,soepel
to disturb,storen
career,loopbaan/carrière
careers teacher,decaan
lecture,college
to attend,bijwonen
to quote,citeren
quotation/quote,citaat
summary,samenvatting
science,wetenschap
scientist,wetenschapper
scientific,wetenschappelijk
physics,natuurkunde
to develop,ontwikkelen
development,ontwikkeling
option,keuze/optie
optional subject,keuzevak
truant,spijbelaar
to play truant,spijbelen
truancy,spijbelen
rule,regel
to apply,toepassen
application,toepassing
anything but,allesbehalve
diligent/industrious,ijverig
diligence,ijver
lazy,lui
to cheat,spieken
to explain,uitleggen
explanation,uitleg
essay,opstel
