business,zaak
entrepreneur,ondernemer
managing director,algemeen directeur
CEO,algemeen directeur
to manage,besturen/leiden
management,directie
board of directors ,raad van commissarissen
firm,firma
profit,winst
profitable,winstgevend
lucrative,lucratief
share/stock,aandeel
shareholder,aandeelhouder
to share,delen
stock exchange,aandelenbeurs
to invest,investeren/beleggen
to risk,riskeren
risky,riskant
trade,handel
trade,vak
commerce,handel
to expand,uitbreiden
expansion,uitbreiding
to compete,concurreren
competition,concurrentie
competitor,concurrent
competitive,concurrerend
fierce,fel/hevig
growth,groei
to lag behind,achterblijven bij
to guarantee,garanderen
guarantee/warranty,garantie
