brave/courageous,moedig/dapper
bravery/courage,moed
hero,held
heroine,heldin
heroic,heldhaftig
to encourage,aanmoedigen
to discourage,ontmoedigen
to claim,opeisen
to claim,beweren
rank,rang
private,gewoon soldaat
to conquer,veroveren
conquest,verovering
to liberate,bevrijden
liberty/freedom,vrijheid
liberation,bevrijding
statue,standbeeld
"execute, to",uitvoeren
"carry ou, to",uitvoeren
to execute,executeren
to reveal/to disclose,onthullen
volunteer,vrijwilliger
voluntary,vrijwillig
to sacrifice,opofferen
mankind/humanity,de mensheid
to capture,gevangennemen
captivity,gevangenschap
captive,gevangen
to possess/to own,bezitten
possession,bezitting
headquarters,hoofdkwartier
to penetrate,doordringen
