mass media,massamedia
postcode,postcode
zip code (AE),postcode
parcel/package,pakje
to deliver,bezorgen/leveren
delivery,bezorging/levering
courier,koerier
to inform,mededelen
to notify,mededelen
to respond,reageren/antwoorden
response,reactie/respons
(un)intelligible,(on)begrijpelijk
mail,post
to keep in touch,contact houden
to text,texten/sms’en
snail mail,slakkenpost
junk mail,ongewenste reclame
current,actueel/huidig
orbit,baan
bold,vet
italics,cursieve letters
to nod,knikken
illegible,onleesbaar
to whisper,fluisteren
to address,toespreken
address/speech,toespraak
inquiry (into),onderzoek (naar)
to make enquiries/inquiries,inlichtingen vragen
"announce, to",bekendmaken
"announce, to",  aankondigen
announcement,bekendmaking
