to expect,verwachten
actually,eigenlijk/in feite
certificate,diploma
knowledge,kennis
superficial,oppervlakkig
gymnasium/gym,sportzaal/gymzaal
level,niveau
to neglect,verwaarlozen
nickname,bijnaam
angle,hoek
oral,mondeling
to compare,vergelijken
comparison,vergelijking
illiterate,analfabeet
illiteracy,analfabetisme
to praise,prijzen
vocabulary,woordenschat
advanced,gevorderd
to intend,van plan zijn
! progress,vorderingen/  vooruitgang
rapid,snel
course,cursus
extract,uittreksel
grant,studietoelage
notice,mededeling
to oblige,verplichten
obligation,verplichting
compulsory/ obligatory,verplicht
though/although,hoewel
to remain,blijven
