appearance,uiterlijk
human,menselijk
human,mens
human being,mens
scar,litteken
ugly,lelijk
familiar,bekend/vertrouwd
tan,bruine kleur
sensitive,gevoelig
to expose (to),blootstellen (aan)
exposure,blootstelling
sight,gezichtsvermogen
perspiration,transpiratie
bald,kaal
to dye,verven (haar/kleding)
muscle,spier
muscular,gespierd
razor/shaver,scheerapparaat
to remove,verwijderen
removal,verwijdering 
obese,obees
obesity,obesitas
slim,slank
to slim,afslanken
features,gelaatstrekken
wrinkle,rimpel
to resemble,lijken op
  to look like,lijken op
resemblance,gelijkenis
remarkable,opmerkelijk
skull,schedel
sense,zintuig
taste,smaak
naked/nude,naakt
unlike,anders dan
