civil war,burgeroorlog
civilian,burger
submarine,onderzeeboot
weapons/arms,wapens
armament,bewapening
to destroy/wipe out,vernietigen
destruction,vernietiging
destructive,vernietigend
missile,raket
to launch,lanceren
to arm,bewapenen
enemy,vijand
to surrender,zich overgeven
rifle,geweer
firearm,vuurwapen
bullet,kogel
shell,granaat
to aim,richten
aim/target,doel(wit)
to enlist,in dienst gaan
combat,strijd/gevecht
to combat,bestrijden
air raid,luchtaanval
! casualty,slachtoffer
secret,geheim
spy,spion
to survive,overleven
survival,overleving
survivor,overlevende
massacre,bloedbad/slachting
