to weigh,wegen
weight,gewicht
to outweigh,zwaarder wegen dan
to extend,uitbreiden
extension,uitbreiding
extensive,uitgebreid
extent,omvang
to some extent,tot op zekere hoogte
considerable,aanzienlijk/flink
approximately/about,ongeveer
population,bevolking
dense,dicht
density,dichtheid
populated,bevolkt
largely,grotendeels
to lack,missen/niet hebben
lack of,gebrek aan
numerous,veel/talrijk
to estimate,schatten
estimate,schatting
to overestimate,overschatten
to underestimate,onderschatten
to overrate,overschatten
to underrate,onderschatten
birth rate,geboortecijfer
to increase/to rise,toenemen/stijgen
to increase/to raise,verhogen
increase/rise,toename/stijging
increasingly,in toenemende  mate/steeds ...er
to decrease,afnemen
to decrease,verlagen
decrease,afname/daling
