to generate,opwekken
natural resources,natuurlijke rijkdommen
to exploit,exploiteren
exploitation,exploitatie
to spoil (spoilt-spoilt),bederven
rubbish/litter,afval/vuilnis
dustbin/bin,vuilnisbak
garbage/trash (AE),afval/vuilnis
garbage can/trash ,vuilnisbak
  can (AE),vuilnisbak
solar,zonne-
solar panel,zonnepaneel
sustainable,duurzaam
nuclear,kern/atoom-
waste,afval
to separate,scheiden
separate,apart/gescheiden
factory/plant,fabriek
to release,lozen
peninsula,schiereiland
mainland,vasteland
plain,vlakte
avalanche,lawine
to trigger,veroorzaken
glacier,gletscher
universe,heelal
in the country,op het platteland
rather than,liever dan/in plaats van
hike,trektocht
to hike,een trektocht maken
