on no account,in geen geval
whereas ,terwijl
sewer,riool
blaze,vuurzee
to stifle,verstikken
maze,doolhof
to scatter,verspreiden
to spot,ontdekken
to abstain from,zich onthouden van
to assimilate ,zich aanpassen
assimilation,aanpassing 
to oppress,onderdrukken
oppression,onderdrukking
knight,ridder
non-existent,niet bestaand
to restore,teruggeven
restoration,teruggave
to consume,verbruiken
consumption,verbruik
provided/,mits
  providing,mits
to attend to/,helpen (in winkel)
  to serve,helpen (in winkel)
to linger,treuzelen
to advance,voorschieten
to catch up with,inhalen
to christen,dopen
regardless of,ongeacht
to annihilate,vernietigen
curse,vloek
to swear/,vloeken
  to curse,vloeken
to maintain,onderhouden
maintenance,alimentatie
