charity,goed doel
charity,liefdadigheid
! aid,hulp
to provide,leveren/geven
to provide with,voorzien van
to dedicate to,wijden aan
dedication,inzet/toewijding
tribe,stam
(un)civilised,(on)beschaafd
civilisation,beschaving
alien,buitenlander
to raise,inzamelen
the establishment,de gevestigde orde
to abolish,afschaffen
abolition,afschaffing
to exploit,uitbuiten
exploitation,uitbuiting
to accommodate,huisvesten
national anthem,volkslied
nobleman,edelman
nobility,adel
racial segregation,rassenscheiding
to participate/,deelnemen
  to take part ,deelnemen
participant,deelnemer
slogan,leuze
(un)equal,(on)gelijk
(in)equality,(on)gelijkheid
on welfare,in de bijstand
on social security ,in de bijstand
