department store,warenhuis
department,afdeling
store,winkel
grocery store (AE),supermarket
groceries,boodschappen 
basement,souterrain/kelder
escalator,roltrap
elevator (AE),lift
to browse,rondkijken
to browse,bladeren
shop window,etalage
brand,merk
to wrap,inpakken
to reduce,afprijzen/verlagen
discount,korting
bargain,koopje
VAT,BTW
stock,voorraad
to stock,in voorraad hebben
customer,klant
shop assistant,verkoopster/verkoper
(shopping) mall,winkelcentrum
shopping cart/,winkelwagentje
 shopping trolley,winkelwagentje
cashdesk/checkout,kassa
receipt,kassabon
to exchange,ruilen
within,binnen
item,artikel
to refund,terugbetalen
to display,uitstallen/tonen
use by ,te gebruiken tot  (TGT)
best before  ,tenminste houdbaar   tot (THT)
