ferry,veerboot
journey,reis (over land)
voyage,reis (over zee)
cabin,hut
berth,kooi
yacht,jacht
vessel,vaartuig
"board, to",instappen
altitude,hoogte
"hijack, t0",kapen
course,koers
"alter, to",wijzigen
runway,startbaan
"cancel, to",annuleren
cancellation,annulering
"wrecked, to be",vergaan
"rescue, to",redden
"save, to",redden
crew,bemanning
rescue,redding
to abandon,verlaten
to crash,neerstorten
inquiry (into),onderzoek (naar)
customs,douane
customs officer,douanebeambte
contents,inhoud
to declare,aangeven
luggage/baggage,bagage
to consist of,bestaan uit
excess baggage,overbagage
enterprise,onderneming
fellow,mede-
