! (un)likely/  (im)probable,(on)waarschijnlijk
landmark,keerpunt/mijlpaal
gradual(ly),geleidelijk
meanwhile,ondertussen
in the meantime,ondertussen
ultimately,uiteindelijk/tenslotte
eventually,uiteindelijk/tenslotte
coincidence,toeval
to cease,ophouden
former,vroeger
stage,stadium/fase
(in)convenient,(on)geschikt
to suit,schikken
instalment,termijn
premature,voorbarig/te vroeg
Middle Ages,Middeleeuwen
medieval,middeleeuws
simultaneously,tegelijkertijd
to accelerate/,versnellen
  to speed up,versnellen
custom,gewoonte
to preserve,behouden
preservation,behoud/bescherming
to terminate,beëindigen
interval,pauze
to catch up,inhalen (achterstand)
to postpone/,uitstellen
