account,rekening (bank)
wallet,portemonnee
purse,damesportemonnee/handtasje
reward,beloning
to reward,belonen
to contribute,bijdragen
contribution,bijdrage
currency,munteenheid
to exchange/,wisselen (geld)
  to change,wisselen (geld)
exchange rate,wisselkoers
allowance,toelage
economic,economisch
economical,zuinig
economics,economie (vak)
to economise,bezuinigen
to purchase,kopen
mortgage,hypotheek
liable for,aansprakelijk voor
to gamble,gokken
to take for granted,als vanzelfsprekend 
to waste,verspillen
waste,verspilling
poverty,armoede
to struggle against,vechten tegen
struggle,strijd
deposit,aanbetaling
to afford,zich veroorloven/
to afford,  betalen
affordable,betaalbaar
